chirp_index,echo_energy,noise_energy,echo_delay_ms
0,1786.7828703703703,45.217,49.916666666666664
1,1759513.1180555555,61.894,49.770833333333336
2,1125512.062037037,77.295,48.25
3,97113.66111111111,33.726,49.895833333333336
4,28680.6,70.771,49.9375
5,101391.58518518519,34.739,49.895833333333336
6,459716.6300925926,75.471,49.4375
7,1434356.0111111111,34.158,43.25
8,967085.6240740741,76.53,49.3125
9,739677.8074074074,102.955,47.729166666666664
10,754392.2527777777,105.511,46.729166666666664
11,1530535.913425926,56.711,49.1875
12,555492.3962962963,29.411,48.729166666666664
13,70328.87037037036,50.169,49.895833333333336
14,20853.760185185187,19.829,49.9375
15,1250806.762037037,43.213,49.9375
16,992945.2097222222,10.331,49.958333333333336
17,1513691.8328703705,59.305,49.5625
